year,title,artist,genre,peak_pos,wks_on_chart,duration,popularity,energy,danceability,loudness,speechiness,liveness
1961,Little Egypt (Ying-Yang),The Coasters,R&B,23,12,172933,25,0.322,0.869,-15.825,0.0718,0.261
1961,San Antonio Rose,Floyd Cramer,Pop,8,12,141000,45,0.133,0.569,-20.378,0.037,0.115
1961,The Writing On The Wall,Adam Wade,Pop,5,11,272000,62,0.505,0.316,-9.047,0.0456,0.237
1961,Where The Boys Are,Connie Francis,Pop,4,15,157000,45,0.408,0.366,-4.85,0.0301,0.328
1961,Baby It's You,The Shirelles,R&B,8,14,161000,45,0.384,0.643,-11.864,0.0282,0.178
1961,Reverend Mr. Black,The Kingston Trio,Folk,8,11,184200,24,0.309,0.573,-16.006,0.0502,0.356
1961,Ya Ya,Lee Dorsey,Pop,7,13,106000,79,0.442,0.728,-10.095,0.0565,0.149
1961,Runaround Sue,Dion,Pop,1,14,171000,67,0.607,0.364,-9.791,0.125,0.251
1961,Blue Moon,The Marcels,Pop,1,14,170000,66,0.322,0.925,-9.8,0.112,0.137
1961,Wheels,The String-A-Longs,Pop,3,16,207000,69,0.387,0.941,-11.92,0.0427,0.157
1961,Lonely Teenager,Dion,Pop,12,16,135000,31,0.468,0.352,-9.412,0.0313,0.462
1961,M.T.A.,The Kingston Trio,Folk,15,11,193386,34,0.548,0.713,-8.807,0.0455,0.197
1961,Big Bad John,Jimmy Dean,Pop,1,16,182000,53,0.457,0.516,-12.609,0.184,0.106
1961,Rubber Ball,Bobby Vee,Pop,6,14,244000,41,0.263,0.444,-12.276,0.0251,0.867
1961,School Is Out,Gary U.S. Bonds,Pop,5,11,109000,27,0.62,0.685,-6.096,0.137,0.203
1961,Little Sister,Elvis Presley,Pop,5,13,174000,62,0.959,0.364,-2.955,0.0627,0.411
1961,Asia Minor,Kokomo,Pop,8,14,181000,27,0.723,0.45,-8.285,0.0357,0.193
1961,Mama Said,The Shirelles,R&B,4,11,128800,39,0.64,0.669,-4.987,0.0625,0.295
1961,Last Date,Floyd Cramer,Pop,2,20,146000,42,0.287,0.296,-13.01,0.0345,0.153
1961,Many Tears Ago,Connie Francis,Pop,7,13,114000,33,0.491,0.684,-3.466,0.0294,0.261
1961,Runaway,Del Shannon,Pop,1,17,547000,81,0.568,0.374,-3.825,0.109,0.513
